Model,Field,Precision,Recall,F1
mistral,Name,1.00,1.00,1.00
mistral,Email,1.00,1.00,1.00
mistral,Phone,0.67,0.67,0.67
mistral,LinkedIn,1.00,1.00,1.00
mistral,Location,1.00,1.00,1.00
mistral,Skills,0.98,0.96,0.97
mistral,Education,0.42,0.42,0.42
mistral,Experience,0.00,0.00,0.00
phi3:3.8b,Name,0.40,0.40,0.40
phi3:3.8b,Email,0.60,0.60,0.60
phi3:3.8b,Phone,0.20,0.20,0.20
phi3:3.8b,LinkedIn,0.20,0.20,0.20
phi3:3.8b,Location,0.20,0.20,0.20
phi3:3.8b,Skills,0.46,0.46,0.46
phi3:3.8b,Education,0.40,0.40,0.40
phi3:3.8b,Experience,0.00,0.00,0.00
llama2:7b,Name,0.50,0.50,0.50
llama2:7b,Email,0.25,0.25,0.25
llama2:7b,Phone,0.00,0.00,0.00
llama2:7b,LinkedIn,0.00,0.00,0.00
llama2:7b,Location,0.50,0.50,0.50
llama2:7b,Skills,0.91,0.77,0.82
llama2:7b,Education,0.00,0.00,0.00
llama2:7b,Experience,0.00,0.00,0.00
